
"country \ indicator","BMI adults % moderate and severe thinness (<=17)","BMI adults % normal (18.5-24.99)","BMI adults % obese (>=30.0)","BMI adults % overweight (>=25.0)","BMI adults % pre-obese (25.0-29.99)","BMI adults % underweight (<18.5)","BMI females % moderate and severe thinness (<=17)","BMI females % normal (18.5-24.99)","BMI females % obese (>=30.0)","BMI females % overweight (>=25.0)","BMI females % pre-obese (25.0-29.99)","BMI females % underweight (<18.5)","BMI males % moderate and severe thinness (<=17)","BMI males % normal (18.5-24.99)","BMI males % obese (>=30.0)","BMI males % overweight (>=25.0)","BMI males % pre-obese (25.0-29.99)","BMI males % underweight (<18.5)","DES Cereals (calories/day)","DES Fruits, Vegetables, Pulses, Nuts (calories/day)","DES Meat, Fish, Milk, Eggs (calories/day)","DES Oils, Fats, Sugars (calories/day)","DES Other  (calories/day)","DES Roots, Tubers (calories/day)","DES Total (calories/day)","Population Females (1000)","Population Males (1000)","Population Total (1000)"
"Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","218","383","601"
"Republic of Korea","","63.2","3.2","32.1","27.4","4.7","","65.7","3.5","27.8","26","6.5","","60.6","2.8","36.6","29.6","2.8","1,453","277","383","770","131","32","3,055","23,568","23,862","47,430"
"Romania","","55.2","8.6","41.7","33.1","3.0","","57.2","9.5","38.1","29","4.8","","53.0","7.7","45.8","38.1","1.1","1,649","199","616","623","154","164","3,407","11,450","10,937","22,387"
"Ruanda-Urundi","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","20.1","45.5","25","","","","11.8","49.9","31.1","","1,180","128","565","753","160","224","3,014","76,696","67,386","144,082"
"Rwanda","","","","","","","2.5","78.7","1.3","11.5","","9.8","","","","","","","337","667","50","104","98","830","2,086","4,353","3,919","8,272"
"Reunion","","","","","","","","","","","","","","","","","","","","","","","","","","381","364","745"
"Saint Helena","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","5"
"Saint Kitts and Nevis","","","","","","","","","","","","","","","","","","","757","238","737","957","148","74","2,997","21","21","42"
"Saint Lucia","","","","","","","","","","","","","","","","","","","855","348","722","570","182","157","2,849","75","73","148"
"Saint Pierre and Miquelon","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","6"
"Saint Vincent and the Grenadines","","","","","","","","","","","","","","","","","","","986","141","418","787","131","142","2,609","59","60","119"
"Saint-Kitts-Nevis-Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","84","92","176"
"San Marino","","","","","","","","","","","","","","","","","","","","","","","","","","14","13","27"
"Sao Tome and Principe","","","","","","","","","","","","","","","","","","","887","331","87","794","69","397","2,567","79","78","157"
"Sarawak","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","","42.1","35.6","72.5","36.9","7.0","","23.7","43.8","71.4","28","4.9","","27.8","28.3","66.2","37.9","5.9","1,382","325","390","662","26","42","2,841","10,884","12,636","23,520"
"Senegal","","","","","","","6.4","59.9","7.2","21.9","15","18.2","","","","","","","1,325","73","196","627","12","43","2,277","4,959","4,895","9,855"
"Senegambia","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia and Montenegro","","","17.4","54.0","36.6","","","","20.0","50.9","31","","","","14.4","","43.0","","848","233","699","742","168","87","2,778","5,295","5,240","10,535"
"Seychelles","","","25.1","60.1","30.7","","","","35.2","68.3","32","","","","15.0","52.0","29.8","","946","192","443","720","98","43","2,461","41","40","80"
"Sierra Leone","","","","","","","","","","","","","","","","","","","1,028","196","67","376","59","186","1,913","2,425","2,339","4,764"
"Singapore","","58.3","6.9","32.5","25.6","9.2","","57.9","7.3","29.9","23","12.2","","58.8","6.4","35.0","28.6","6.2","","","","","","","","2,077","2,106","4,183"
"Slovakia","","48.6","14.3","46.7","32.4","4.7","","55.3","15.0","37.4","22","7.4","","17.0","13.5","57.8","44.3","1.6","951","160","439","1,024","191","123","2,894","2,776","2,622","5,398"
"Slovenia","","","15.0","","","","","","13.8","","","","","","16.5","","","","1,068","215","768","581","198","106","2,935","1,021","965","1,986"
"Solomon Islands","","","","","","","","","","","","","","","","","","","769","131","162","369","15","824","2,272","225","238","463"
"Somalia","","","","","","","","","","","","","","","","","","","588","63","578","456","0","31","1,404","4,777","4,703","9,480"
"South Africa","","46.2","21.6","45.1","23.5","8.6","","38.9","27.4","54.9","28","6.2","","57.7","8.8","29.8","21.0","12.5","1,601","104","340","708","109","58","2,921","22,865","21,894","44,759"
"South Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Vietnam","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","44.9","15.6","53.4","37.8","1.8","","51.2","15.4","45.8","30","3.0","","38.7","15.7","60.7","45.1","0.5","753","350","875","1,096","199","149","3,422","20,883","20,094","40,977"
"Sri Lanka","","","","","","","","","","","","","","","","","","","1,226","187","148","597","36","57","2,274","9,120","9,790","18,910"
"Sudan","","","","","","","","","","","","","","","","","","","1,187","161","439","470","6","13","2,288","16,339","16,539","32,878"
"Suriname","","","","","","","","","","","","","","","","","","","1,095","175","343","856","98","63","2,643","218","214","432"
"Swaziland","","","","","","","0.6","46.2","23.1","50.6","28","3.2","2.7","72.4","3.9","17.6","13.7","10.1","1,166","143","358","727","142","45","2,593","559","510","1,069"
"Sweden","","52.0","12.0","45.0","33.0","2.0","","58.0","12.0","39.0","27","3.0","","45.0","13.0","54.0","41.0","1.0","788","183","855","1,085","155","92","3,164","4,477","4,390","8,867"
"Switzerland","","59.2","8.2","37.3","29.1","3.5","","65.5","7.8","28.6","21","5.9","","52.7","8.7","46.3","37.6","1.0","779","252","953","1,158","199","98","3,440","3,624","3,548","7,171"
"Syrian Arab Republic","","","","","","","","","","","","","","","","","","","1,447","271","305","955","11","47","3,038","8,623","8,758","17,381"
"Tajikistan","","","","","","","2.8","65.8","7.1","25.6","18","","","","","","","","1,027","80","141","320","7","87","1,662","3,108","3,087","6,195"
"Thailand","","57.0","7.8","31.5","19.4","19.2","","56.0","9.0","34.4","26","9.6","","65.8","5.2","22.6","17.8","11.6","1,232","178","271","551","142","49","2,486","31,632","30,561","62,193"
"The former Yugoslav Republic of Macedonia","","","25.1","60.4","","","1.3","55.8","10.7","37.9","27","6.4","","","14.3","50.9","","","867","270","352","871","92","98","2,552","1,023","1,023","2,046"
"Timor-Leste","","","","","","","14.8","59.2","","3.1","","37.7","6.5","70.6","","1.8","","26.4","","","","","","","","350","389","739"
"Togo","","","","","","","2.0","77.8","2.5","11.5","9","10.9","","","","","","","1,130","97","74","353","21","609","2,287","2,423","2,377","4,801"
"Tokelau","","","63.4","","","","","","67.8","","","","","","58.6","","","","","","","","","","","1","1","2"
"Tonga","","","56.0","","","","","","","","","","","","","","","","","","","","","","","50","52","103"
"Trinidad and Tobago","","","","","","","","","","","","","","","","","","","993","201","352","1,077","66","60","2,756","655","643","1,298"
"Trust Territories of the Pacific Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","","","17.2","43.8","26.6","","2.6","","22.7","50.9","28","","4.7","","6.4","29.7","23.3","","1,693","311","331","860","35","62","3,293","4,829","4,899","9,728"
"Turkey","","40.1","16.1","56.4","40.3","3.5","0.4","39.9","23.9","58.4","34","1.6","","36.9","15.6","61.6","46.0","1.5","1,655","428","309","794","32","124","3,343","34,887","35,432","70,318"
"Turkmenistan","","","","","","","2.9","61.5","10.3","28.8","18","9.9","","","","","","","1,717","95","400","497","11","15","2,738","2,422","2,372","4,794"
"Turks and Caicos Islands","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","20"
"Uganda","","","","","","","2.5","71.3","4.1","16.5","12","12.1","","","","","","","483","752","141","277","159","581","2,398","12,580","12,423","25,004"
"Ukraine","","","","","","","","62.5","11.3","32.1","21","5.4","","","","","","","1,257","144","478","788","83","257","3,008","26,200","22,701","48,902"
"Union of Soviet Socialist Republics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Arab Emirates","","","33.7","","32.4","","","47.0","16.0","59.8","28","10.0","","","17.1","53.8","36.7","","1,266","474","705","787","53","40","3,340","1,023","1,914","2,937"
"United Arab Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","33.9","22.7","61.0","38.3","5.1","","37.5","23.0","56.6","34","5.9","","29.6","22.3","66.3","43.9","4.1","818","242","867","1,024","210","198","3,368","30,429","28,858","59,287"
"United Republic of Tanzania","","","","","","","12.2","71.8","4.4","17.7","13","10.4","","","","","","","1,032","168","113","231","62","392","1,997","18,317","17,959","36,276"
"United States Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","58","53","110"
"United States of America","","35.7","33.9","66.9","32.2","2.4","","37.2","34.3","61.3","29","3.3","","33.0","33.1","72.1","39.7","1.5","862","246","912","1,462","176","109","3,766","148,091","142,947","291,038"
"Uruguay","","","17.0","52.4","","","","","18.0","49.0","","","","","17.0","57.0","","","1,037","162","919","493","115","114","2,848","1,747","1,644","3,391"
"Uzbekistan","","","","","","","1.1","66.4","7.1","27.8","21","5.9","","64.3","5.4","31.9","","3.8","1,309","104","381","335","17","50","2,197","12,931","12,774","25,705"
"Vanuatu","","49.3","15.9","48.8","33.0","1.9","","45.3","19.6","51.9","32","2.9","","53.2","12.2","45.8","33.7","1.0","688","170","355","782","26","541","2,565","101","106","207"
"Venezuela","","","","","","","","","","","","","","","","","","","872","232","350","713","126","80","2,376","12,534","12,692","25,226"
"Viet Nam","","68.5","0.5","5.2","4.5","26.5","9.6","65.5","0.6","6.2","6","28.3","6.8","71.9","0.3","4.1","3.3","24.4","1,786","144","248","227","26","90","2,533","40,275","40,003","80,278"
"Vietnam, Democratic republic of","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wallis and Futuna","","","","","","","","","","","","","","","","","","","","","","","","","","7","8","15"
"Yemen","","","","","","","9.9","59.7","4.0","15.2","11","25.2","","","","","","","1,388","121","115","400","5","20","2,050","9,507","9,809","19,315"
"Yemen 1960-1989","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yugoslavia","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yugoslavia 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zambia","","","","","","","2.6","71.2","5.4","19.2","14","9.6","","","","","","","1,175","44","90","270","36","270","1,885","5,386","5,312","10,698"
"Zimbabwe","","53.7","15.7","37.3","21.6","9.9","0.7","65.8","7.2","25.0","18","9.2","","66.3","3.9","18.3","14.4","15.5","1,113","56","120","731","71","43","2,133","6,468","6,367","12,835"
